Handle,Title,Body (HTML),Vendor,Product Category,Type,Tag,Published,Option1 Name,Option1 Value,Option 2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Include / Japan,Include / International,Price / International,Compare At Price / International,Status
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,Boxer Calvin Klein Underwear PACCO DA 3 Azzurro,"<p><strong>Modello: </strong>PACCO DA 3</p><p><strong>Codice Articolo Calvin Klein Underwear: </strong>U2664G</p><p><strong>Composizione:</strong> 95% cotone, 5% elastan</p>",Calvin Klein,,Boxer Uomo,male,False,Size,52,Color,Azzurro,U2664G-Azzurro,0,shopify,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-1.jpeg,1,boxer-calvin-klein-underwear-pacco-da-3-azzurro,False,,,,,,,,,,,,,,,kg,,,True,True,,,active
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,,,,,,,,,46,,Azzurro,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-2.jpeg,2,boxer-calvin-klein-underwear-pacco-da-3-azzurro,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,,,,,,,,,50,,Azzurro,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-3.jpeg,3,boxer-calvin-klein-underwear-pacco-da-3-azzurro,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,,,,,,,,,48,,Azzurro,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-4.jpeg,4,boxer-calvin-klein-underwear-pacco-da-3-azzurro,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-5.jpeg,5,boxer-calvin-klein-underwear-pacco-da-3-azzurro,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-1-150x150.jpeg,6,boxer-calvin-klein-underwear-pacco-da-3-azzurro,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-2-150x150.jpeg,7,boxer-calvin-klein-underwear-pacco-da-3-azzurro,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-3-150x150.jpeg,8,boxer-calvin-klein-underwear-pacco-da-3-azzurro,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-4-150x150.jpeg,9,boxer-calvin-klein-underwear-pacco-da-3-azzurro,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-pacco-da-3-azzurro | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-azzurro-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-5-150x150.jpeg,10,boxer-calvin-klein-underwear-pacco-da-3-azzurro,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-pacco-da-3-rosso | U2664G,Boxer Calvin Klein Underwear PACCO DA 3 Rosso,"<p><strong>Modello: </strong>PACCO DA 3</p><p><strong>Codice Articolo Calvin Klein Underwear: </strong>U2664G</p><p><strong>Composizione:</strong> 95% cotone, 5% elastan</p>",Calvin Klein,,Boxer Uomo,male,False,Size,52,Color,Rosso,U2664G-Rosso,0,shopify,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-rosso-boxer-uomo-calvin-klein-underwear-3-trunks-u2664g-vita-bassa-intimo-nuovo-1.jpeg,1,boxer-calvin-klein-underwear-pacco-da-3-rosso,False,,,,,,,,,,,,,,,kg,,,True,True,,,active
