Handle,Title,Body (HTML),Vendor,Product Category,Type,Tag,Published,Option1 Name,Option1 Value,Option 2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Include / Japan,Include / International,Price / International,Compare At Price / International,Status
t-shirt-armani-exchange--bianco | 8NZT76 Z8H4Z,T-shirt Armani Exchange  Bianco,<p><strong>Modello: </strong></p><p><strong>Codice Articolo Armani Exchange: </strong>8NZT76 Z8H4Z</p><p><strong>Composizione:</strong> 100% Cotone</p>,Armani Exchange,,T-shirt maniche corte Uomo,male,False,Size,46,Color,Bianco,8NZT76 Z8H4Z-Bianco,0,shopify,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-armani-exchange-bianco-t-shirt-jersey-8nzt76-z8h4z-1.jpeg,1,t-shirt-armani-exchange--bianco,False,,,,,,,,,,,,,,,kg,,,True,True,,,active
t-shirt-armani-exchange--bianco | 8NZT76 Z8H4Z,,,,,,,,,54,,Bianco,,0,,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-armani-exchange-bianco-t-shirt-jersey-8nzt76-z8h4z-2.jpeg,2,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZT76 Z8H4Z,,,,,,,,,52,,Bianco,,0,,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-armani-exchange-bianco-t-shirt-jersey-8nzt76-z8h4z-3.jpeg,3,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZT76 Z8H4Z,,,,,,,,,44,,Bianco,,0,,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-armani-exchange-bianco-t-shirt-jersey-8nzt76-z8h4z-1-150x150.jpeg,4,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZT76 Z8H4Z,,,,,,,,,48,,Bianco,,0,,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-armani-exchange-bianco-t-shirt-jersey-8nzt76-z8h4z-2-150x150.jpeg,5,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZT76 Z8H4Z,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-armani-exchange-bianco-t-shirt-jersey-8nzt76-z8h4z-3-150x150.jpeg,6,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
polo-manica-corta-armani-exchange--nero | 8NZF70 Z8M9Z,Polo manica corta Armani Exchange  Nero,"<p><strong>Modello: </strong></p><p><strong>Codice Articolo Armani Exchange: </strong>8NZF70 Z8M9Z</p><p><strong>Composizione:</strong> 95% Cotone, 5% elastane</p>",Armani Exchange,,Polo maniche corte Uomo,male,False,Size,46,Color,Nero,8NZF70 Z8M9Z-Nero,0,shopify,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/polo-maniche-corte-armani-exchange-nero-t-shirt-polo-8nzf70-z8m9z-1640860703-1-1000x1250.jpeg,1,polo-manica-corta-armani-exchange--nero,False,,,,,,,,,,,,,,,kg,,,True,True,,,active
polo-manica-corta-armani-exchange--nero | 8NZF70 Z8M9Z,,,,,,,,,54,,Nero,,0,,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/polo-maniche-corte-armani-exchange-nero-t-shirt-polo-8nzf70-z8m9z-1640860703-2-1000x1250.jpeg,2,polo-manica-corta-armani-exchange--nero,,,,,,,,,,,,,,,,,,,,,,,
polo-manica-corta-armani-exchange--nero | 8NZF70 Z8M9Z,,,,,,,,,52,,Nero,,0,,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/polo-maniche-corte-armani-exchange-nero-t-shirt-polo-8nzf70-z8m9z-1640860742-3.jpeg,3,polo-manica-corta-armani-exchange--nero,,,,,,,,,,,,,,,,,,,,,,,
polo-manica-corta-armani-exchange--nero | 8NZF70 Z8M9Z,,,,,,,,,48,,Nero,,0,,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/polo-maniche-corte-armani-exchange-nero-t-shirt-polo-8nzf70-z8m9z-1640860703-1-150x150.jpeg,4,polo-manica-corta-armani-exchange--nero,,,,,,,,,,,,,,,,,,,,,,,
polo-manica-corta-armani-exchange--nero | 8NZF70 Z8M9Z,,,,,,,,,50,,Nero,,0,,1,deny,manual,"€45,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/polo-maniche-corte-armani-exchange-nero-t-shirt-polo-8nzf70-z8m9z-1640860703-2-150x150.jpeg,5,polo-manica-corta-armani-exchange--nero,,,,,,,,,,,,,,,,,,,,,,,
