Handle,Title,Body (HTML),Vendor,Product Category,Type,Tag,Published,Option1 Name,Option1 Value,Option 2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Include / Japan,Include / International,Price / International,Compare At Price / International,Status
boxer-calvin-klein-underwear-3-pack-trunks-nero | U2664G,Boxer Calvin Klein Underwear 3 PACK TRUNKS Nero,"<p><strong>Modello: </strong>3 PACK TRUNKS</p><p><strong>Codice Articolo Calvin Klein Underwear: </strong>U2664G</p><p><strong>Composizione:</strong> 95% cotone, 5% elastan</p>",Calvin Klein,,Boxer Uomo,male,False,Size,52,Color,Nero,U2664G-Nero,0,shopify,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-nero-3-boxer-trunks-classic-u2664g-1.jpeg,1,boxer-calvin-klein-underwear-3-pack-trunks-nero,False,,,,,,,,,,,,,,,kg,,,True,True,,,active
boxer-calvin-klein-underwear-3-pack-trunks-nero | U2664G,,,,,,,,,46,,Nero,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-nero-3-boxer-trunks-classic-u2664g-2-1000x773.jpeg,2,boxer-calvin-klein-underwear-3-pack-trunks-nero,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-3-pack-trunks-nero | U2664G,,,,,,,,,50,,Nero,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-nero-3-boxer-trunks-classic-u2664g-3.jpeg,3,boxer-calvin-klein-underwear-3-pack-trunks-nero,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-3-pack-trunks-nero | U2664G,,,,,,,,,48,,Nero,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-nero-3-boxer-trunks-classic-u2664g-4.jpeg,4,boxer-calvin-klein-underwear-3-pack-trunks-nero,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-3-pack-trunks-nero | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-nero-3-boxer-trunks-classic-u2664g-1-150x150.jpeg,5,boxer-calvin-klein-underwear-3-pack-trunks-nero,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-3-pack-trunks-nero | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-nero-3-boxer-trunks-classic-u2664g-2-150x150.jpeg,6,boxer-calvin-klein-underwear-3-pack-trunks-nero,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-3-pack-trunks-nero | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-nero-3-boxer-trunks-classic-u2664g-3-150x150.jpeg,7,boxer-calvin-klein-underwear-3-pack-trunks-nero,,,,,,,,,,,,,,,,,,,,,,,
boxer-calvin-klein-underwear-3-pack-trunks-nero | U2664G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/boxer-calvin-klein-underwear-nero-3-boxer-trunks-classic-u2664g-4-150x150.jpeg,8,boxer-calvin-klein-underwear-3-pack-trunks-nero,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZTPA ZJH4Z,T-shirt Armani Exchange  Bianco,<p><strong>Modello: </strong></p><p><strong>Codice Articolo Armani Exchange: </strong>8NZTPA ZJH4Z</p><p><strong>Composizione:</strong> 100% Cotone</p>,Armani Exchange,,Completo corto tuta Uomo,male,False,Size,46,Color,Bianco,8NZTPA ZJH4Z-Bianco,0,shopify,1,deny,manual,"€95,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-maniche-corte-armani-exchange-bianco-logo-ax-8nztpa-zjh4z-1640862743-1-1000x1251.jpeg,1,t-shirt-armani-exchange--bianco,False,,,,,,,,,,,,,,,kg,,,True,True,,,active
t-shirt-armani-exchange--bianco | 8NZTPA ZJH4Z,,,,,,,,,54,,Bianco,,0,,1,deny,manual,"€95,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-maniche-corte-armani-exchange-bianco-logo-ax-8nztpa-zjh4z-1640862743-2-1000x1250.jpeg,2,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZTPA ZJH4Z,,,,,,,,,52,,Bianco,,0,,1,deny,manual,"€95,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-maniche-corte-armani-exchange-bianco-logo-ax-8nztpa-zjh4z-1640862778-3-1000x1249.jpeg,3,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZTPA ZJH4Z,,,,,,,,,44,,Bianco,,0,,1,deny,manual,"€95,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-maniche-corte-armani-exchange-bianco-logo-ax-8nztpa-zjh4z-1640862785-4-1000x1250.jpeg,4,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZTPA ZJH4Z,,,,,,,,,48,,Bianco,,0,,1,deny,manual,"€95,00",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-maniche-corte-armani-exchange-bianco-logo-ax-8nztpa-zjh4z-1640862743-1-150x150.jpeg,5,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZTPA ZJH4Z,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-maniche-corte-armani-exchange-bianco-logo-ax-8nztpa-zjh4z-1640862743-2-150x150.jpeg,6,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZTPA ZJH4Z,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-maniche-corte-armani-exchange-bianco-logo-ax-8nztpa-zjh4z-1640862778-3-150x150.jpeg,7,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-armani-exchange--bianco | 8NZTPA ZJH4Z,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/t-shirt-maniche-corte-armani-exchange-bianco-logo-ax-8nztpa-zjh4z-1640862785-4-150x150.jpeg,8,t-shirt-armani-exchange--bianco,,,,,,,,,,,,,,,,,,,,,,,
